id,code,slug,name,credits,adminAcademicUnitId,adminAssignmentBasis,status
course:bae01,BAE01,bae01-actividades-extracurriculares,Actividades Extracurriculares,1,,pending-verification,active
course:bef01,BEF01,bef01-etica-y-filosofia-politica,Ética y Filosofía Política,2,,pending-verification,active
course:beg01,BEG01,beg01-economia-general,Economía General,3,,pending-verification,active
course:bfi01,BFI01,bfi01-fisica-i,Física I,5,,pending-verification,active
course:bic01,BIC01,bic01-introduccion-a-la-computacion,Introducción a la Computación,2,,pending-verification,active
course:bie01,BIE01,bie01-idioma-extranjero-o-lengua-nativa-en-el-nivel-intermedio,Idioma Extranjero o Lengua Nativa en el Nivel Intermedio,2,,pending-verification,active
course:bma01,BMA01,bma01-calculo-diferencial,Cálculo Diferencial,5,,pending-verification,active
course:bma02,BMA02,bma02-calculo-integral,Cálculo Integral,5,,pending-verification,active
course:bma03,BMA03,bma03-algebra-lineal,Álgebra Lineal,4,,pending-verification,active
course:bqu01,BQU01,bqu01-quimica-i,Química I,5,,pending-verification,active
course:brc01,BRC01,brc01-redaccion-y-comunicacion,Redacción y Comunicación,2,,pending-verification,active
course:brn01,BRN01,brn01-realidad-nacional-constitucion-y-derechos-humanos,"Realidad Nacional, Constitución y Derechos Humanos",3,,pending-verification,active
course:cc0a1,CC0A1,cc0a1-base-de-datos-avanzadas,Base de Datos Avanzadas,4,academic-unit:school:n6,prefix-rule,active
course:cc0a2,CC0A2,cc0a2-programacion-de-dispositivos-moviles,Programación de Dispositivos Móviles,4,academic-unit:school:n6,prefix-rule,active
course:cc0a3,CC0A3,cc0a3-diseno-de-sistemas-basados-en-microordenador,Diseño de Sistemas Basados en Microordenador,4,academic-unit:school:n6,prefix-rule,active
course:cc0a4,CC0A4,cc0a4-sistemas-empotrados,Sistemas Empotrados,4,academic-unit:school:n6,prefix-rule,active
course:cc0a5,CC0A5,cc0a5-calidad-de-software,Calidad de Software,4,academic-unit:school:n6,prefix-rule,active
course:cc0a6,CC0A6,cc0a6-auditoria-de-sistemas,Auditoría de Sistemas,4,academic-unit:school:n6,prefix-rule,active
course:cc0a7,CC0A7,cc0a7-sistemas-embebidos-en-tiempo-real,Sistemas Embebidos en Tiempo Real,4,academic-unit:school:n6,prefix-rule,active
course:cc0b1,CC0B1,cc0b1-sistemas-operativos-avanzados,Sistemas Operativos Avanzados,4,academic-unit:school:n6,prefix-rule,active
course:cc0b2,CC0B2,cc0b2-programacion-de-aplicaciones-en-redes,Programación de Aplicaciones en Redes,4,academic-unit:school:n6,prefix-rule,active
course:cc0b3,CC0B3,cc0b3-topicos-de-seguridad,Tópicos de Seguridad,4,academic-unit:school:n6,prefix-rule,active
course:cc0b4,CC0B4,cc0b4-nucleo-y-redes-para-computacion-paralela,Núcleo y Redes para Computación Paralela,4,academic-unit:school:n6,prefix-rule,active
course:cc0c1,CC0C1,cc0c1-sistemas-cognitivos,Sistemas Cognitivos,4,academic-unit:school:n6,prefix-rule,active
course:cc0c2,CC0C2,cc0c2-procesamiento-del-lenguaje-natural,Procesamiento del Lenguaje Natural,4,academic-unit:school:n6,prefix-rule,active
course:cc0c3,CC0C3,cc0c3-algoritmos-bioinspirados,Algoritmos Bioinspirados,4,academic-unit:school:n6,prefix-rule,active
course:cc0c4,CC0C4,cc0c4-lenguaje-paralelo-orientado-a-objetos,Lenguaje Paralelo Orientado a Objetos,4,academic-unit:school:n6,prefix-rule,active
course:cc0d1,CC0D1,cc0d1-deep-learning-en-vision-artificial,Deep Learning en VIsión Artificial,4,academic-unit:school:n6,prefix-rule,active
course:cc0d2,CC0D2,cc0d2-multimedia,Multimedia,4,academic-unit:school:n6,prefix-rule,active
course:cc0d3,CC0D3,cc0d3-topicos-de-computacion-grafica,Tópicos de Computación Gráfica,4,academic-unit:school:n6,prefix-rule,active
course:cc0d4,CC0D4,cc0d4-diseno-geometrico-asistido-por-computador,Diseño Geométrico Asistido por Computador,4,academic-unit:school:n6,prefix-rule,active
course:cc0e1,CC0E1,cc0e1-programacion-en-tarjetas-graficas,Programación en Tarjetas Gráficas,4,academic-unit:school:n6,prefix-rule,active
course:cc0e2,CC0E2,cc0e2-programacion-declarativa,Programación Declarativa,4,academic-unit:school:n6,prefix-rule,active
course:cc0e3,CC0E3,cc0e3-compiladores,Compiladores,4,academic-unit:school:n6,prefix-rule,active
course:cc0e4,CC0E4,cc0e4-paradigmas-de-programacion,Paradigmas de Programación,4,academic-unit:school:n6,prefix-rule,active
course:cc0e5,CC0E5,cc0e5-algoritmos-y-estructuras-de-datos-avanzados,Algoritmos y Estructuras de Datos Avanzados,4,academic-unit:school:n6,prefix-rule,active
course:cc0f1,CC0F1,cc0f1-simulacion-numerica,Simulación Numérica,4,academic-unit:school:n6,prefix-rule,active
course:cc0f2,CC0F2,cc0f2-fisica-computacional,Física Computacional,4,academic-unit:school:n6,prefix-rule,active
course:cc0f3,CC0F3,cc0f3-biologia-computacional,Biología Computacional,4,academic-unit:school:n6,prefix-rule,active
course:cc0f4,CC0F4,cc0f4-topicos-de-ciencia-de-la-computacion-i,Tópicos de Ciencia de la Computación I,4,academic-unit:school:n6,prefix-rule,active
course:cc0f5,CC0F5,cc0f5-topicos-de-ciencia-de-la-computacion-ii,Tópicos de Ciencia de la Computación II,4,academic-unit:school:n6,prefix-rule,active
course:cc0f6,CC0F6,cc0f6-topicos-de-ciencia-de-la-computacion-iii,Tópicos de Ciencia de la Computación III,4,academic-unit:school:n6,prefix-rule,active
course:cc0f7,CC0F7,cc0f7-topicos-de-ciencia-de-la-computacion-iv,Tópicos de Ciencia de la Computación IV,4,academic-unit:school:n6,prefix-rule,active
course:cc0f8,CC0F8,cc0f8-introduccion-a-la-computacion-cuantica,Introducción a la Computación Cuántica,4,academic-unit:school:n6,prefix-rule,active
course:cc0s2,CC0S2,cc0s2-modelamiento-y-simulacion,Modelamiento y Simulación,4,academic-unit:school:n6,prefix-rule,active
