id,curriculumId,courseId,requirementType,recommendedCycle,prerequisiteCourseIds,typeCode,evaluationSystemCode,syllabusLabel,sourceFile,sourceRow
curriculum-course:n3:2018:bfi01,curriculum:n3:2018,course:bfi01,required,1,,G,F,BFI01 FISICA I,PLAN DE ESTUDIOS 2018 DE LA ESCUELA PROFESIONAL DE QUÍMICA CON SILABOS(Hoja1).csv,5
curriculum-course:n3:2018:bic01,curriculum:n3:2018,course:bic01,required,1,,G,F,BIC01-INTRODUCCION A LA COMPUTACIÓN,PLAN DE ESTUDIOS 2018 DE LA ESCUELA PROFESIONAL DE QUÍMICA CON SILABOS(Hoja1).csv,6
curriculum-course:n3:2018:bma01,curriculum:n3:2018,course:bma01,required,1,,G,G,BMA01 CALCULO DIFERENCIAL,PLAN DE ESTUDIOS 2018 DE LA ESCUELA PROFESIONAL DE QUÍMICA CON SILABOS(Hoja1).csv,7
curriculum-course:n3:2018:bma03,curriculum:n3:2018,course:bma03,required,1,,G,G,BMA03 ALGEBRA LINEAL,PLAN DE ESTUDIOS 2018 DE LA ESCUELA PROFESIONAL DE QUÍMICA CON SILABOS(Hoja1).csv,8
curriculum-course:n3:2018:bqu01,curriculum:n3:2018,course:bqu01,required,1,,G,F,BQU01 QUIMICA I,PLAN DE ESTUDIOS 2018 DE LA ESCUELA PROFESIONAL DE QUÍMICA CON SILABOS(Hoja1).csv,9
curriculum-course:n3:2018:bef01,curriculum:n3:2018,course:bef01,required,2,,G,D,BEF01 ETICA Y FILOSOFIA POLITICA,PLAN DE ESTUDIOS 2018 DE LA ESCUELA PROFESIONAL DE QUÍMICA CON SILABOS(Hoja1).csv,14
curriculum-course:n3:2018:beg01,curriculum:n3:2018,course:beg01,required,2,,G,F,BEG01 ECONOMIA GENERAL,PLAN DE ESTUDIOS 2018 DE LA ESCUELA PROFESIONAL DE QUÍMICA CON SILABOS(Hoja1).csv,15
curriculum-course:n3:2018:bma02,curriculum:n3:2018,course:bma02,required,2,course:bma01,G,G,BMA02 CALCULO INTEGRAL,PLAN DE ESTUDIOS 2018 DE LA ESCUELA PROFESIONAL DE QUÍMICA CON SILABOS(Hoja1).csv,16
curriculum-course:n3:2018:brc01,curriculum:n3:2018,course:brc01,required,2,,G,D,BRC01 REDACCION Y COMUNICACION,PLAN DE ESTUDIOS 2018 DE LA ESCUELA PROFESIONAL DE QUÍMICA CON SILABOS(Hoja1).csv,17
curriculum-course:n3:2018:brn01,curriculum:n3:2018,course:brn01,required,2,,G,D,BRN01 REALIDAD NACIONAL,PLAN DE ESTUDIOS 2018 DE LA ESCUELA PROFESIONAL DE QUÍMICA CON SILABOS(Hoja1).csv,18
curriculum-course:n3:2018:cq102,curriculum:n3:2018,course:cq102,required,2,,E,N,CQ102 QUIMICA EXPERIMENTAL,PLAN DE ESTUDIOS 2018 DE LA ESCUELA PROFESIONAL DE QUÍMICA CON SILABOS(Hoja1).csv,19
curriculum-course:n3:2018:cq132,curriculum:n3:2018,course:cq132,required,2,,E,N,CQ132 QUIMICA CIENCIA Y TECNOLOGIA,PLAN DE ESTUDIOS 2018 DE LA ESCUELA PROFESIONAL DE QUÍMICA CON SILABOS(Hoja1).csv,20
curriculum-course:n3:2018:cq221,curriculum:n3:2018,course:cq221,required,3,course:bfi01,E,G,CQ221- INTRODUCCIÓN A LA ELECTRICIDAD Y MAGNETISMO,PLAN DE ESTUDIOS 2018 DE LA ESCUELA PROFESIONAL DE QUÍMICA CON SILABOS(Hoja1).csv,26
curriculum-course:n3:2018:cq241,curriculum:n3:2018,course:cq241,required,3,course:bqu01,E,N,CQ241 ELEMENTOS QUIMICOS-PROPIEDADES Y APLICACIONES,PLAN DE ESTUDIOS 2018 DE LA ESCUELA PROFESIONAL DE QUÍMICA CON SILABOS(Hoja1).csv,27
curriculum-course:n3:2018:cq261,curriculum:n3:2018,course:cq261,required,3,course:bqu01,E,G,CQ261 HIDROCARBUROS ALIFATICOS -ALCOHOLES Y DERIVADOS,PLAN DE ESTUDIOS 2018 DE LA ESCUELA PROFESIONAL DE QUÍMICA CON SILABOS(Hoja1).csv,28
curriculum-course:n3:2018:cq271,curriculum:n3:2018,course:cq271,required,3,course:bqu01,E,G,CQ271 PRINCIPIOS DE FISICOQUIMICA,PLAN DE ESTUDIOS 2018 DE LA ESCUELA PROFESIONAL DE QUÍMICA CON SILABOS(Hoja1).csv,29
curriculum-course:n3:2018:cl002,curriculum:n3:2018,course:cl002,required,3,,E,G,CL002 INGLES I,PLAN DE ESTUDIOS 2018 DE LA ESCUELA PROFESIONAL DE QUÍMICA CON SILABOS(Hoja1).csv,30
curriculum-course:n3:2018:cq242,curriculum:n3:2018,course:cq242,required,4,course:cq241,E,N,CQ242 ESTRUCTURA QUIMICA Y REACTIVIDAD,PLAN DE ESTUDIOS 2018 DE LA ESCUELA PROFESIONAL DE QUÍMICA CON SILABOS(Hoja1).csv,36
curriculum-course:n3:2018:cq262,curriculum:n3:2018,course:cq262,required,4,course:cq261,E,G,CQ262 COMPUESTO CARBONILICOS Y AROMATICOS,PLAN DE ESTUDIOS 2018 DE LA ESCUELA PROFESIONAL DE QUÍMICA CON SILABOS(Hoja1).csv,37
curriculum-course:n3:2018:cq272,curriculum:n3:2018,course:cq272,required,4,course:cq271,E,F,CQ272 FUNDAMENTOS DE ELECTROQUIMICA,PLAN DE ESTUDIOS 2018 DE LA ESCUELA PROFESIONAL DE QUÍMICA CON SILABOS(Hoja1).csv,38
curriculum-course:n3:2018:cq2e2,curriculum:n3:2018,course:cq2e2,required,4,course:cq102,E,F,CQ2E2 QUÍMICA ANALITICA,PLAN DE ESTUDIOS 2018 DE LA ESCUELA PROFESIONAL DE QUÍMICA CON SILABOS(Hoja1).csv,39
curriculum-course:n3:2018:bie01,curriculum:n3:2018,course:bie01,required,5,,G,D,,PLAN DE ESTUDIOS 2018 DE LA ESCUELA PROFESIONAL DE QUÍMICA CON SILABOS(Hoja1).csv,45
curriculum-course:n3:2018:cq301,curriculum:n3:2018,course:cq301,required,5,course:cq242,E,N,CQ301 QUIMICA DE COORDINACION,PLAN DE ESTUDIOS 2018 DE LA ESCUELA PROFESIONAL DE QUÍMICA CON SILABOS(Hoja1).csv,46
curriculum-course:n3:2018:cq361,curriculum:n3:2018,course:cq361,required,5,course:cq262,E,G,CQ361 CARBOHIDRATOS AMINOACIDOS Y HETEROCICLICOS,PLAN DE ESTUDIOS 2018 DE LA ESCUELA PROFESIONAL DE QUÍMICA CON SILABOS(Hoja1).csv,47
curriculum-course:n3:2018:cq371,curriculum:n3:2018,course:cq371,required,5,course:cq271,E,G,CQ371 CINETICA QUIMICA Y FENOMENOS DE SUPERFICIE,PLAN DE ESTUDIOS 2018 DE LA ESCUELA PROFESIONAL DE QUÍMICA CON SILABOS(Hoja1).csv,48
curriculum-course:n3:2018:cq381,curriculum:n3:2018,course:cq381,required,5,course:cq2e2,E,G,CQ381 TRATAMIENTO ESTADISTICO EN QUIMICA ANALITICA,PLAN DE ESTUDIOS 2018 DE LA ESCUELA PROFESIONAL DE QUÍMICA CON SILABOS(Hoja1).csv,49
curriculum-course:n3:2018:cq300,curriculum:n3:2018,course:cq300,required,6,course:bma02,E,G,CQ300 METODOS NUMERICOS APLICADOS A LA QUIMICA,PLAN DE ESTUDIOS 2018 DE LA ESCUELA PROFESIONAL DE QUÍMICA CON SILABOS(Hoja1).csv,54
curriculum-course:n3:2018:cq302,curriculum:n3:2018,course:cq302,required,6,course:cq301,E,N,CQ302 QUIMICA INORGANICA APLICADA,PLAN DE ESTUDIOS 2018 DE LA ESCUELA PROFESIONAL DE QUÍMICA CON SILABOS(Hoja1).csv,55
curriculum-course:n3:2018:cq372,curriculum:n3:2018,course:cq372,required,6,course:cq272 course:cq371,E,G,CQ372 QUIMICA DE COLOIDES Y NANOPARTICULAS,PLAN DE ESTUDIOS 2018 DE LA ESCUELA PROFESIONAL DE QUÍMICA CON SILABOS(Hoja1).csv,56
curriculum-course:n3:2018:cq382,curriculum:n3:2018,course:cq382,required,6,course:cq381,E,C,CQ382 TECNICAS ESPECTROSCOPICAS EN QUIMICA ANALITICA,PLAN DE ESTUDIOS 2018 DE LA ESCUELA PROFESIONAL DE QUÍMICA CON SILABOS(Hoja1).csv,57
curriculum-course:n3:2018:cq392,curriculum:n3:2018,course:cq392,required,6,course:cq361,E,G,CQ392 IDENTIFICACION ESPECTROSCOPICA DE COMPUESTOS ORGANICOS,PLAN DE ESTUDIOS 2018 DE LA ESCUELA PROFESIONAL DE QUÍMICA CON SILABOS(Hoja1).csv,58
